# Rime user dictionary
#@/db_name	clover.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	14785
#@/user_id	rime_fcitx_xiao_he
a 	啊	c=86 d=3.48375 t=14785
qi zhong yi ge 	其中一个	c=1 d=1 t=12638
qi zui 	气嘴	c=2 d=3.0678e-14 t=14785
qia hao 	恰好	c=1 d=1 t=13417
qian 	前	c=1 d=4.67024e-15 t=14785
qian 	千	c=1 d=0.000112788 t=14785
qian 	钱	c=3 d=0.00151492 t=14785
qian ban 	前半	c=0 d=0.00170774 t=14785
qian ban xiao shi 	前半小时	c=1 d=0.017163 t=14785
qian dao 	签到	c=19 d=1.5842 t=14785
qian dao shi 	签到时	c=1 d=0.0658748 t=14785
qian dao yi chang 	签到异常	c=1 d=0.0528657 t=14785
qian dou 	钱都	c=1 d=0.00194013 t=14785
qian duan 	前段	c=1 d=5.13645e-16 t=14785
qian duan 	前端	c=6 d=0.000101706 t=14785
qian duan geng xin le 	前端更新了	c=1 d=5.98518e-21 t=14785
qian hou 	前后	c=2 d=3.75246e-09 t=14785
qian hou bai fang 	前后摆放	c=1 d=1 t=10719
qian hou duan 	前后端	c=2 d=0.798516 t=14785
qian hou duan 	钱后端	c=1 d=5.66489e-21 t=14785
qian ji nian 	前几年	c=1 d=3.2577e-12 t=14785
qian ji tian 	前几天	c=0 d=0.00131675 t=14785
qian liang ge 	前两个	c=1 d=1 t=9490
qian mian 	前面	c=0 d=1.30498e-15 t=14785
qian shan wan shui 	千山万水	c=1 d=1 t=14563
qian tao 	嵌套	c=5 d=2.0086e-05 t=14785
qian ti 	前提	c=2 d=1.54975e-07 t=14785
qian xu 	谦虚	c=1 d=0.00013776 t=14785
qian yi ci 	前一次	c=1 d=0.00937227 t=14785
qiang 	强	c=2 d=1.31037 t=12146
qiang lie 	强烈	c=2 d=4.03373e-18 t=14785
qiang ruan ruo xu 	强软弱虚	c=2 d=1.37158 t=12301
qiang yin yong 	强引用	c=1 d=1 t=12136
qiang zhi 	强制	c=1 d=1 t=12228
qiao 	瞧	c=0 d=3.5657e-17 t=14785
qiao bu jian li 	乔布简历	c=1 d=1 t=11257
qie huan 	切换	c=3 d=0.000767337 t=14785
qie huan yu yan 	切换语言	c=1 d=1 t=13812
qin qi 	亲戚	c=0 d=1.15463e-16 t=14785
qing 	清	c=1 d=1.15781e-18 t=14785
qing 	请	c=1 d=8.48326e-07 t=14785
qing 	轻	c=1 d=0.878095 t=14785
qing chang shi 	请尝试	c=1 d=1.26031e-16 t=14785
qing chu 	清楚	c=2 d=4.56822e-07 t=14785
qing chu 	清除	c=8 d=3.2766 t=12904
qing chu le 	清楚了	c=0 d=0.000257991 t=14785
qing hua 	清华	c=1 d=0.00843808 t=14785
qing jia 	请假	c=1 d=8.56853e-07 t=14785
qing jia shen qing 	请假申请	c=1 d=1.45247e-09 t=14785
qing jian cha 	请检查	c=1 d=8.19149e-07 t=14785
qing jiao 	请叫	c=1 d=1.84708e-13 t=14785
qing kong 	清空	c=3 d=3.76411e-06 t=14785
qing kuang 	情况	c=7 d=0.419625 t=14785
qing kuang er 	情况二	c=7 d=1.01384e-07 t=14785
qing kuang san 	情况三	c=1 d=1 t=10819
qing kuang xia 	情况下	c=1 d=1 t=11498
qing kuang yi 	情况一	c=11 d=4.3522e-08 t=14785
qing le 	请了	c=1 d=4.84574e-07 t=14785
qing li 	清理	c=4 d=1.00535 t=13865
qing liang ji 	轻量级	c=2 d=1.98511 t=14275
qing nian 	青年	c=1 d=1.65496e-15 t=14785
qing nian jia 	请年假	c=2 d=1.55857e-07 t=14785
qing qiu 	请求	c=5 d=0.062976 t=14785
qing qiu fang shi 	请求方式	c=1 d=1.64558e-07 t=14785
qing qiu ma 	请求码	c=1 d=4.73831e-08 t=14785
qing song 	轻松	c=0 d=4.76368e-13 t=14785
qing xuan ze 	请选择	c=1 d=0.000703108 t=14785
qing zhou 	青轴	c=1 d=1 t=14697
qu 	区	c=4 d=0.000360939 t=14785
qu 	去	c=15 d=0.299135 t=14785
qu 	取	c=4 d=1.31869 t=14785
qu ba 	去吧	c=2 d=0.0880368 t=14785
qu bie 	区别	c=8 d=0.00368872 t=14785
qu bu chu lai 	取不出来	c=1 d=0.00195963 t=14785
qu chi 	去吃	c=1 d=0.0858632 t=14785
qu chi fan 	去吃饭	c=1 d=1 t=14363
qu chong fu 	去重复	c=2 d=0.0649411 t=14785
qu da 	去打	c=0 d=8.94891e-19 t=14785
qu da yi miao 	去打疫苗	c=1 d=8.99377e-18 t=14785
qu dao 	渠道	c=1 d=0.00546167 t=14785
qu de 	去的	c=1 d=7.02368e-21 t=14785
qu diao 	去掉	c=11 d=0.980199 t=14785
qu diao le 	去掉了	c=1 d=3.21696e-11 t=14785
qu fen 	区分	c=0 d=0.1 t=13025
qu gong yuan 	去公园	c=1 d=1.25382e-14 t=14785
qu guan yin shan 	去观音山	c=1 d=8.23395e-09 t=14785
qu guo 	取过	c=0 d=0.1 t=14415
qu jian 	区间	c=2 d=7.15582e-06 t=14785
qu jian ma 	区间码	c=1 d=7.19168e-05 t=14785
qu jian ma 	取件码	c=2 d=0.000152556 t=14785
qu jie 	去接	c=0 d=0.1 t=10572
qu jie ni 	去接你	c=1 d=1 t=10573
qu kan kan 	去看看	c=0 d=1.60993e-15 t=14785
qu kan le 	去看了	c=0 d=6.33626e-12 t=14785
qu kan le ma 	去看了吗	c=1 d=6.54151e-12 t=14785
qu kuai lian 	区块链	c=1 d=4.24835e-18 t=14785
qu mai che 	去买车	c=1 d=2.449e-08 t=14785
qu na er 	去哪儿	c=1 d=6.8846e-21 t=14785
qu na li 	去那里	c=0 d=7.97675e-19 t=14785
qu na li ba 	去那里吧	c=1 d=8.01674e-18 t=14785
qu nian 	去年	c=2 d=3.07383e-05 t=14785
qu shang ban 	去上班	c=0 d=1.06807e-11 t=14785
qu shui yin 	去水印	c=1 d=1 t=11249
qu ting che chang 	去停车场	c=1 d=3.29783e-09 t=14785
qu xia zai 	去下载	c=1 d=1 t=9714
qu xiao 	取消	c=1 d=1 t=12210
qu xiao le 	取消了	c=1 d=1.01851 t=10230
qu yu 	区域	c=7 d=0.000520278 t=14785
qu zhao 	去找	c=3 d=1.00034 t=11782
qu zhao ni 	去找你	c=1 d=1 t=11224
qu zhi 	取值	c=0 d=0.1 t=11232
qu zong 	区总	c=2 d=1.96079 t=11370
quan 	全	c=1 d=1.00041 t=14145
quan 	圈	c=1 d=1.06495e-05 t=14785
quan bu 	全部	c=4 d=2.86129e-05 t=14785
quan bu gei ta men 	全部给他们	c=1 d=3.10093e-20 t=14785
quan bu jin cheng 	全部进程	c=1 d=1 t=11974
quan bu shi yong 	全部使用	c=1 d=1 t=11124
quan bu ti huan 	全部替换	c=1 d=2.39553e-13 t=14785
quan bu wen jian 	全部文件	c=1 d=1 t=9591
quan fang wei 	全方位	c=1 d=0.000161662 t=14785
quan guo 	全国	c=3 d=1.0036 t=11460
quan jia tong 	全家桶	c=1 d=1.91717e-10 t=14785
quan ju 	全局	c=3 d=0.00011092 t=14785
quan ju yi chang 	全局异常	c=1 d=0.00101791 t=14785
quan liang 	全量	c=5 d=1.10982e-10 t=14785
quan nei cun 	全内存	c=1 d=1 t=13048
quan pin 	全拼	c=2 d=1.98511 t=10295
quan qiu 	全球	c=1 d=1 t=10539
quan shi 	全市	c=1 d=9.16609e-06 t=14785
quan xian 	权限	c=5 d=1.54138 t=14785
quan xian zhong xin 	权限中心	c=1 d=0.818731 t=14785
quan zhou 	泉州	c=1 d=9.95351e-05 t=14785
que 	却	c=0 d=0.1 t=14523
que dian 	缺点	c=2 d=5.97819e-05 t=14785
que ding 	确定	c=0 d=6.54215e-10 t=14785
que ding le 	确定了	c=1 d=0.100031 t=14378
que ren 	确认	c=1 d=2.41172e-05 t=14785
que ren le 	确认了	c=1 d=0.000242381 t=14785
que shi 	确实	c=3 d=0.669571 t=14785
que shi bu cuo 	确实不错	c=2 d=0.00308052 t=14785
que shi hao chi 	确实好吃	c=1 d=1 t=14417
que shi you 	确实有	c=0 d=0.1 t=14738
que shi you dian gao 	确实有垫高	c=1 d=1 t=14739
que zheng 	确证	c=0 d=0.1 t=14544
qun 	群	c=1 d=0.0513033 t=14785
qun li 	群里	c=6 d=0.169622 t=14785
qun li bu shi you 	群里不是有	c=1 d=1.92148e-07 t=14785
qun zhu 	群主	c=1 d=3.18162e-11 t=14785
r m 	人没	c=2 d=3.64151e-19 t=14785
ran hou 	然后	c=17 d=3.93432e-06 t=14785
ran xin 	然信	c=0 d=3.06903e-17 t=14785
rang 	瓤	c=0 d=0.1 t=10452
rang 	让	c=6 d=0.242725 t=14785
rang gei 	让给	c=0 d=2.83211e-13 t=14785
rang gei ni 	让给你	c=1 d=2.8463e-12 t=14785
rang ni 	让你	c=1 d=6.94669e-10 t=14785
rang ni xia lai le 	让你下来了	c=1 d=6.98151e-09 t=14785
rang ta 	让她	c=1 d=0.085435 t=14785
rang ta men 	让他们	c=1 d=0.0333733 t=14785
rang wo 	让我	c=2 d=1 t=13324
rang wo men 	让我们	c=1 d=0.000140543 t=14785
rang xiao lan 	让小兰	c=1 d=3.51023e-08 t=14785
re bie 	热别	c=1 d=3.26558e-11 t=14785
re dian 	热点	c=1 d=2.17769e-09 t=14785
ren 	人	c=17 d=0.289951 t=14785
ren cai 	人才	c=15 d=3.7741 t=14785
ren cai a 	人才啊	c=1 d=1 t=14679
ren cai pan dian 	人才盘点	c=3 d=1.30795 t=14785
ren he 	任何	c=1 d=1 t=14169
ren hen 	人很	c=0 d=1.25382e-15 t=14785
ren hen duo 	人很多	c=1 d=1.2601e-14 t=14785
ren jia 	人家	c=2 d=0.00202296 t=14785
ren jia zui hou 	人家最后	c=1 d=0.00140882 t=14785
ren jian 	人间	c=1 d=4.00163e-20 t=14785
ren le 	人了	c=0 d=6.32359e-22 t=14785
ren li 	人力	c=2 d=0.0110537 t=14785
ren men 	人们	c=1 d=1 t=14607
ren min bi 	人民币	c=2 d=4.95556e-06 t=14785
ren ping 	任凭	c=1 d=1.51618e-14 t=14785
ren ren ying shi 	人人影视	c=1 d=2.35907e-09 t=14785
ren shi 	人事	c=1 d=0.537944 t=14785
ren shi 	认识	c=3 d=0.532592 t=14785
ren shu 	人数	c=2 d=0.482222 t=14785
ren wei 	人为	c=1 d=2.78274e-11 t=14785
ren wei 	认为	c=1 d=1 t=13536
ren wu 	任务	c=28 d=1.35811 t=14785
ren wu xia fa 	任务下发	c=1 d=1 t=13240
ren yi 	任意	c=1 d=1 t=13438
ren yu zi ran 	人与自然	c=1 d=1 t=12076
ren yuan 	人员	c=6 d=0.000627905 t=14785
ren yuan shu ju 	人元数据	c=1 d=0.000547581 t=14785
ren zhen 	认真	c=1 d=0.187308 t=14785
ren zou 	人走	c=0 d=1.91782e-15 t=14785
ren zou le 	人走了	c=1 d=1.92744e-14 t=14785
reng ran 	仍然	c=1 d=1 t=12802
reng you 	仍有	c=1 d=1.54759e-20 t=14785
ri 	日	c=1 d=3.74012e-19 t=14785
ri chang 	日常	c=2 d=4.35368e-12 t=14785
ri me 	日么	c=1 d=0.985112 t=14785
ri qi 	日期	c=5 d=0.902305 t=14785
ri zhi 	日志	c=13 d=0.916779 t=14785
rong liang 	容量	c=2 d=1.11824 t=13640
rong liang bu zu 	容量不足	c=1 d=1 t=10481
rong qi 	容器	c=1 d=5.25199e-13 t=14785
rong qiao 	融侨	c=5 d=8.84659e-15 t=14785
rong yao 	荣耀	c=1 d=1.14019e-14 t=14785
ru 	如	c=5 d=0.0885976 t=14785
ru guo 	如果	c=72 d=1.38349 t=14785
ru guo hui gui 	如果回归	c=1 d=1 t=11104
ru guo ke yi 	如果可以	c=1 d=1 t=14745
ru guo mei qi ta shi qing 	如果没其它事情	c=1 d=6.98865e-21 t=14785
ru he 	如何	c=11 d=0.00287738 t=14785
ru he tiao zheng 	如何调整	c=1 d=8.36693e-21 t=14785
ru men 	入门	c=2 d=7.46472e-21 t=14785
ru xia 	如下	c=6 d=0.0676694 t=14785
ru zhi 	入职	c=1 d=5.27472e-05 t=14785
ruan jian 	软件	c=20 d=0.00179368 t=14785
ruan jian kai fa 	软件开发	c=2 d=7.50389e-12 t=14785
ruan jian xia zai 	软件下载	c=1 d=2.49245e-09 t=14785
ruo 	若	c=2 d=1.9802 t=13197
ruo yi 	若依	c=2 d=8.42388e-12 t=14785
s 	三	c=2 d=1.50058e-10 t=14785
sai cheng 	赛程	c=1 d=2.61614e-20 t=14785
san 	三	c=9 d=0.880301 t=14785
san bai duo 	三百多	c=1 d=1 t=11863
san ci 	三次	c=1 d=4.33196e-12 t=14785
san da 	三大	c=0 d=0.1 t=13738
san da fang fa 	三大方法	c=1 d=1 t=13739
san ge 	三个	c=6 d=0.535261 t=14785
san ge jie kou 	三个接口	c=1 d=5.37378e-18 t=14785
san ge qu 	三个区	c=1 d=1 t=12313
san ge wen jian 	三个文件	c=1 d=5.40072e-18 t=14785
san huan 	三环	c=0 d=4.79669e-06 t=14785
san huan li 	三环里	c=1 d=4.82073e-05 t=14785
san ji 	三级	c=2 d=0.95906 t=14785
san liang 	三辆	c=2 d=2.04247e-11 t=14785
san lie 	散列	c=1 d=1 t=11030
san sui 	三岁	c=1 d=4.01895e-12 t=14785
san wu cheng qun 	三五成群	c=1 d=1 t=14610
san xing 	三星	c=1 d=1.56586e-11 t=14785
san zhe 	三者	c=1 d=1 t=13665
san zhong 	三种	c=1 d=3.77835e-21 t=14785
san zi 	三字	c=1 d=1.72191e-11 t=14785
sang 	桑	c=1 d=1 t=14773
sao 	扫	c=1 d=3.50176e-09 t=14785
se 	色	c=1 d=1 t=12090
se qing 	色情	c=1 d=3.22364e-06 t=14785
sh;fm 	搡	c=0 d=1.41781e-20 t=14785
sha 	啥	c=1 d=9.38586e-06 t=14785
sha a 	啥啊	c=1 d=1.21717e-18 t=14785
sha che 	刹车	c=8 d=7.87944e-13 t=14785
sha de 	啥的	c=1 d=1 t=10609
sha diao 	杀掉	c=1 d=1 t=11971
sha dong xi 	啥东西	c=1 d=2.54938e-10 t=14785
sha dou 	啥都	c=1 d=1.38608e-09 t=14785
sha dou kan bu dao 	啥都看不到	c=1 d=3.05372e-16 t=14785
sha dou mei 	啥都没	c=1 d=1.37807e-08 t=14785
sha jin cheng 	杀进程	c=1 d=1 t=11970
sha le ren 	杀了人	c=1 d=0.00242967 t=14785
sha ren 	杀人	c=1 d=0.00256704 t=14785
sha shi hou 	啥时候	c=1 d=1.02601e-08 t=14785
sha wen ti 	啥问题	c=1 d=4.05162e-19 t=14785
shan 	删	c=1 d=3.22748e-20 t=14785
shan 	山	c=2 d=0.0267811 t=14785
shan chu 	删除	c=39 d=1.33028 t=14785
shan di che 	山地车	c=1 d=2.81119e-13 t=14785
shan diao 	删掉	c=6 d=6.11942e-08 t=14785
shan tui 	闪退	c=3 d=2.74512e-10 t=14785
shang 	上	c=17 d=0.0122422 t=14785
shang 	尚	c=0 d=0.1 t=12399
shang ban 	上班	c=3 d=4.12859e-05 t=14785
shang bu liao 	上不了	c=1 d=3.68443e-19 t=14785
shang che qian 	上车前	c=1 d=1 t=9767
shang chuan 	上传	c=7 d=4.17558e-19 t=14785
shang ci 	上次	c=5 d=0.00128757 t=14785
shang dao 	上到	c=0 d=4.84902e-16 t=14785
shang dao xia 	上到下	c=1 d=4.87332e-15 t=14785
shang de 	上的	c=1 d=8.56707e-05 t=14785
shang gui gu 	尚硅谷	c=1 d=1 t=12400
shang ji 	上级	c=4 d=1.3266 t=14785
shang jia 	商家	c=2 d=2.0192 t=10228
shang jia shuo 	商家说	c=1 d=1 t=10221
shang le 	上了	c=0 d=0.199501 t=14680
shang mian 	上面	c=14 d=0.904198 t=14785
shang mian mai de 	上面买的	c=1 d=2.46681e-05 t=14785
shang mian si zhong 	上面四种	c=1 d=1 t=14151
shang pin 	商品	c=1 d=0.0109985 t=14785
shang ping 	上屏	c=1 d=1 t=11160
shang po 	上坡	c=1 d=3.03013e-13 t=14785
shang qu 	上去	c=3 d=0.000227127 t=14785
shang shi 	上市	c=1 d=1.01108e-12 t=14785
shang shu 	上述	c=1 d=0.131336 t=14785
shang wu 	商务	c=1 d=3.65535e-14 t=14785
shang xia ban 	上下班	c=1 d=2.92035e-20 t=14785
shang xia ji 	上下级	c=1 d=0.744532 t=14785
shang xian 	上线	c=1 d=0.000251014 t=14785
shang xian 	上限	c=1 d=0.018043 t=14785
shang xue 	上学	c=2 d=4.90617e-12 t=14785
shang ye 	商业	c=0 d=9.76805e-20 t=14785
shang ye dai 	商业贷	c=1 d=9.81701e-19 t=14785
shang yi ci 	上一次	c=2 d=0.0171794 t=14785
shang you er yuan 	上幼儿园	c=1 d=6.69614e-18 t=14785
shang zuo 	上左	c=0 d=0.1 t=10636
shang zuo xia you 	上左下右	c=1 d=1 t=10637
shao 	少	c=2 d=3.96225e-12 t=14785
shao 	烧	c=1 d=1.99543e-10 t=14785
shao de 	少的	c=0 d=0.1 t=10312
shao le 	少了	c=1 d=1 t=11744
shao liang 	少量	c=1 d=4.23883e-21 t=14785
shao mai 	少买	c=0 d=3.62526e-06 t=14785
shao mai dian 	少买点	c=1 d=3.64343e-05 t=14785
shao mei 	烧煤	c=1 d=1.38187e-11 t=14785
shao shu 	少数	c=1 d=0.00012909 t=14785
shao wei 	稍微	c=1 d=0.0662047 t=14785
she hui 	社会	c=1 d=2.2106e-09 t=14785
she ji 	涉及	c=3 d=1.52051 t=14785
she ji 	设计	c=2 d=1.17569e-07 t=14785
she ji mu biao 	设计目标	c=1 d=1 t=13006
she ji qi 	设计器	c=3 d=1.45893e-16 t=14785
she ji zhong xin 	设计中心	c=1 d=5.04262e-05 t=14785
she qu 	社区	c=1 d=6.87874e-11 t=14785
she xiang tou 	摄像头	c=1 d=1 t=10541
she zhi 	设置	c=7 d=0.001395 t=14785
she zhi gong zuo mu biao 	设置工作目标	c=1 d=1 t=11305
she zhi wei 	设置为	c=1 d=1 t=13556
she zhi zi ti 	设置字体	c=1 d=1 t=12276
shen 	神	c=1 d=1 t=14738
shen he 	审核	c=2 d=1.90852e-18 t=14785
shen he guo 	审核过	c=1 d=8.70691e-19 t=14785
shen lan 	深蓝	c=3 d=1.0651 t=10346
shen me 	什么	c=9 d=0.732291 t=14785
shen me jia ge 	什么价格	c=1 d=1 t=10592
shen me ke 	什么科	c=1 d=1.71776e-12 t=14785
shen me luan qi ba zao 	什么乱七八糟	c=1 d=0.0322254 t=14785
shen me shi hou 	什么时候	c=5 d=1.45931e-05 t=14785
shen me shi hou fa sheng 	什么时候发生	c=1 d=1 t=12379
shen me shi hou le 	什么时候了	c=2 d=7.28524e-10 t=14785
shen me xiao qu 	什么小区	c=1 d=1.58214e-15 t=14785
shen me xu qiu 	什么需求	c=1 d=1 t=14463
shen pi 	审批	c=3 d=3.32235e-08 t=14785
shen qi 	神奇	c=1 d=1 t=10528
shen qing 	申请	c=3 d=1.44524e-10 t=14785
shen qing biao 	申请表	c=0 d=2.40051e-09 t=14785
shen se 	深色	c=1 d=3.62958e-19 t=14785
shen ti 	身体	c=4 d=1 t=14522
shen ti yi ce 	身体一侧	c=1 d=1 t=10784
shen zhou 	神舟	c=1 d=0.000309671 t=14785
sheng 	升	c=1 d=0.0031042 t=14785
sheng 	生	c=4 d=0.0393602 t=14785
sheng bing 	生病	c=1 d=1.40954e-09 t=14785
sheng chan 	生产	c=3 d=0.147019 t=14785
sheng cheng 	生成	c=13 d=1.07585e-07 t=14785
sheng cheng biao 	生成表	c=1 d=1.2891e-17 t=14785
sheng ge 	生个	c=1 d=3.19319e-12 t=14785
sheng ji 	升级	c=1 d=4.36792e-21 t=14785
sheng lei 	盛磊	c=5 d=3.66931e-11 t=14785
sheng lve 	省略	c=1 d=6.54215e-09 t=14785
sheng ming 	声明	c=1 d=3.81437e-15 t=14785
sheng qian 	升迁	c=1 d=0.00311976 t=14785
sheng ri 	生日	c=1 d=0.010358 t=14785
sheng yin 	声音	c=2 d=0.100371 t=14697
sheng yin you dian da 	声音有点大	c=1 d=1 t=14698
shi 	事	c=4 d=0.00369786 t=14785
shi 	十	c=0 d=4.58796e-12 t=14785
shi 	时	c=28 d=0.378731 t=14785
shi 	是	c=139 d=2.75555 t=14785
shi 	试	c=1 d=6.0548e-10 t=14785
shi a 	是啊	c=1 d=8.85836e-16 t=14785
shi an zhao 	是按照	c=0 d=6.2123e-19 t=14785
shi ba 	是吧	c=2 d=0.0497871 t=14785
shi bai 	失败	c=9 d=0.376462 t=14785
shi bai shi 	失败时	c=1 d=1 t=12875
shi bie 	识别	c=1 d=0.000267872 t=14785
shi bu 	是不	c=0 d=1.01318e-08 t=14785
shi bu ma fan 	是不麻烦	c=1 d=1.01826e-07 t=14785
shi bu shi 	时不时	c=1 d=5.83145e-09 t=14785
shi bu shi 	是不是	c=4 d=3.41472e-07 t=14785
shi can 	实参	c=1 d=1.53883e-12 t=14785
shi chang 	失常	c=1 d=7.87968e-21 t=14785
shi chang 	市场	c=2 d=0.000363402 t=14785
shi d 	是的	c=1 d=1 t=13053
shi de 	使得	c=2 d=1 t=13982
shi de 	是的	c=13 d=0.584302 t=14785
shi de ya 	是的呀	c=1 d=2.24363e-07 t=14785
shi dian nao 	是电脑	c=1 d=6.17922e-14 t=14785
shi duo 	是多	c=0 d=0.1 t=10520
shi duo da 	是多大	c=1 d=1 t=10521
shi duo ge 	十多个	c=0 d=9.38664e-22 t=14785
shi duo ge ren wan cheng 	十多个人完成	c=1 d=9.43369e-21 t=14785
shi duo shao 	是多少	c=2 d=1.65927e-18 t=14785
shi er 	时儿	c=1 d=0.00236968 t=14785
shi er mang 	时儿忙	c=1 d=0.00235786 t=14785
shi fang 	释放	c=1 d=0.418224 t=13977
shi fei duo 	是非多	c=1 d=0.0112206 t=14785
shi fou 	是否	c=9 d=0.0393005 t=14785
shi fou cun zai 	是否存在	c=1 d=3.79242e-20 t=14785
shi fou fa bu 	是否发布	c=1 d=5.7933e-20 t=14785
shi fou ji huo 	是否激活	c=1 d=2.75646e-17 t=14785
shi fou shi 	是否是	c=1 d=0.0389686 t=14785
shi fou wei 	是否为	c=2 d=1 t=13400
shi gai nian 	是概念	c=1 d=1 t=14405
shi gu 	事故	c=1 d=0.208045 t=14785
shi guo le 	试过了	c=1 d=0.000841773 t=14785
shi he 	适合	c=3 d=1.15396 t=14785
shi hou 	时候	c=4 d=4.46687e-06 t=14785
shi hua shuo 	实话说	c=1 d=1 t=10388
shi ji 	实际	c=1 d=1 t=9683
shi ji gong zuo 	实际工作	c=1 d=1 t=11673
shi ji kai fa 	实际开发	c=1 d=1 t=11274
shi ji nian 	十几年	c=0 d=9.56323e-06 t=14785
shi ji nian le 	十几年了	c=1 d=9.61117e-05 t=14785
shi ji shang 	实际上	c=1 d=1 t=10257
shi jian 	事件	c=6 d=0.000173342 t=14785
shi jian 	时间	c=27 d=0.780678 t=14785
shi jian bu 	时间步	c=0 d=6.91911e-22 t=14785
shi jian bu chong tu 	时间步冲突	c=1 d=6.95379e-21 t=14785
shi jian duan 	时间短	c=0 d=0.1 t=12422
shi jian duan yi xie 	时间短一些	c=1 d=1 t=12423
shi jian fu za du 	时间复杂度	c=1 d=1 t=11040
shi jian ye bu suan chang 	时间也不算长	c=1 d=2.5772e-20 t=14785
shi kong 	是空	c=1 d=8.21129e-07 t=14785
shi li 	实例	c=7 d=1.79909e-14 t=14785
shi li 	实力	c=1 d=1.59777e-13 t=14785
shi li 	示例	c=15 d=0.180848 t=14785
shi li bian liang 	实例变量	c=0 d=4.43167e-16 t=14785
shi li chu shi hua 	实例初始化	c=1 d=2.71496e-15 t=14785
shi li er 	示例二	c=1 d=1 t=11245
shi li hua 	实例化	c=2 d=3.14599e-14 t=14785
shi li yi 	示例一	c=1 d=1 t=11244
shi li zhong 	实例中	c=1 d=2.6884e-17 t=14785
shi liu 	十六	c=1 d=1 t=10519
shi liu xing 	是流行	c=1 d=1 t=14571
shi mei you 	是没有	c=1 d=1 t=12006
shi na ge 	是哪个	c=1 d=1 t=13258
shi ni 	是你	c=0 d=1.61437e-18 t=14785
shi ni bu xing 	是你不行	c=1 d=1.62246e-17 t=14785
shi pin 	视频	c=7 d=0.980199 t=14785
shi pin ge shi 	视频格式	c=1 d=6.98389e-13 t=14785
shi pin xia zai 	视频下载	c=1 d=1 t=12405
shi qing 	事情	c=4 d=0.0213917 t=14785
shi ren 	是人	c=1 d=1 t=10040
shi sha 	是啥	c=1 d=1.14809e-07 t=14785
shi shen me 	是什么	c=9 d=0.0218023 t=14785
shi shi 	实施	c=1 d=0.0241131 t=14785
shi shi 	实时	c=1 d=1 t=10540
shi shi 	试试	c=5 d=7.375e-07 t=14785
shi ti 	尸体	c=1 d=0.00245409 t=14785
shi wan 	十万	c=0 d=1.02636e-13 t=14785
shi wei le 	是为了	c=1 d=1 t=9441
shi wo men 	是我们	c=1 d=1 t=12486
shi wu guan li 	事务管理	c=0 d=3.38362e-18 t=14785
shi wu guan li qi 	事务管理器	c=1 d=3.40058e-17 t=14785
shi xian 	实现	c=8 d=0.842451 t=14785
shi xian fang shi 	实现方式	c=1 d=1 t=13229
shi xian le 	实现了	c=1 d=1 t=13372
shi xian lei 	实现类	c=5 d=0.00394619 t=14785
shi xian pai xu 	实现排序	c=1 d=3.6302e-21 t=14785
shi xian si lu 	实现思路	c=2 d=1.0001 t=13437
shi xiao 	失效	c=1 d=6.05274e-06 t=14785
shi yao 	是要	c=1 d=2.93498e-20 t=14785
shi ye bu 	事业部	c=1 d=0.000367055 t=14785
shi yi 	是以	c=1 d=1 t=13493
shi yi ge 	是一个	c=0 d=0.1 t=13478
shi yi shi 	试一试	c=1 d=4.17501e-19 t=14785
shi yi tu 	示意图	c=1 d=1.06561 t=11254
shi yi xia 	试一下	c=1 d=0.000323925 t=14785
shi yi zhong 	是一种	c=1 d=1 t=12700
shi yong 	使用	c=59 d=0.675304 t=14785
shi yong dai li 	使用代理	c=1 d=1 t=11006
shi yong fu zhu ma 	使用辅助码	c=1 d=1 t=9893
shi yong huan jing 	使用环境	c=1 d=1 t=9431
shi yong kuai jie jian 	使用快捷键	c=1 d=1 t=10986
shi yong le 	使用了	c=2 d=6.67317e-07 t=14785
shi yong yu 	适用于	c=2 d=1.94649 t=12355
shi yong yuan zi lei 	使用原子类	c=1 d=1 t=14387
shi yue ding 	是约定	c=1 d=1 t=14406
shi yue fen 	十月份	c=1 d=0.257947 t=14785
shi zai 	是在	c=1 d=4.43936e-06 t=14785
shi zhan 	实战	c=1 d=1 t=12399
shi zhe ge 	是这个	c=0 d=1.05199e-09 t=14785
shi zhe ge dao li 	是这个道理	c=1 d=1.05726e-08 t=14785
shi zhe yang 	是这样	c=1 d=1 t=10500
shi zhi 	是指	c=3 d=1.02525 t=13954
shi zhong 	时钟	c=1 d=0.0170774 t=14785
shi zi 	十字	c=7 d=1.00401 t=12177
shi zuo 	是做	c=0 d=1.02566e-05 t=14785
shou 	收	c=0 d=0.1 t=12687
shou dao 	受到	c=1 d=3.45021e-11 t=14785
shou dao 	收到	c=1 d=3.46751e-11 t=14785
shou dong 	手动	c=2 d=1.00003 t=12133
shou dou 	手抖	c=1 d=1 t=13649
shou gou 	收购	c=0 d=2.15529e-06 t=14785
shou gou de 	收购的	c=1 d=2.16609e-05 t=14785
shou hang 	首行	c=1 d=5.43999e-15 t=14785
shou heng 	守恒	c=1 d=1.41685e-11 t=14785
shou huo 	收获	c=1 d=1 t=11308
shou ji 	手机	c=12 d=0.0728973 t=14785
shou ji 	收集	c=7 d=1.19204 t=13892
shou ji duan 	手机端	c=2 d=1.00019 t=13331
shou ji fan wei 	收集范围	c=1 d=1 t=12674
shou ji hao 	手机号	c=1 d=0.00027603 t=14785
